Iteration[0]:	-0.0283307232015x	[0.0001, 1.7441830105117313, 2.4361071725290526, 0.33384229024294315]
Iteration[4000]:	-0.00115054993434x	[0.3623941985078219, 4.7519707027758402, 10.020001208835275, 2.2291864030435127]
Iteration[1000]:	-0.0136463780022x	[0.0001, 1.7441830105117313, 2.4361071725290526, 0.33384229024294315]
Iteration[8000]:	-0.000400885828363x	[1.854983314750231, 12.950857917680217, 16.940662364535754, 3.691945607830327]
Iteration[6000]:	-0.000539237080798x	[0.0001, 6.1656613252099595, 16.940662364535754, 3.691945607830327]
Iteration[13000]:	-0.000417811273678x	[7.1257266162482145, 18.803326193724264, 16.199922522229482, 3.691945607830327]
Iteration[11000]:	-0.000406781208192x	[5.1357747470644206, 18.803326193724264, 16.690204858416823, 3.691945607830327]
Iteration[9000]:	-0.000366939850961x	[3.7887435346259712, 18.438332020684772, 16.940662364535754, 3.691945607830327]
Iteration[2000]:	-0.00278471118819x	[0.0001, 2.8905944974902864, 5.9483731789253529, 0.85784658747990949]
Iteration[5000]:	-0.00100069318256x	[0.0001, 5.4611249754764319, 10.020001208835275, 2.2291864030435127]
Iteration[7000]:	-0.000406210687563x	[1.3407822852042384, 8.8823385914700346, 16.940662364535754, 3.691945607830327]
Iteration[3000]:	-0.00261574199536x	[0.0001, 2.7687754568389407, 5.0934565384159844, 2.2291864030435127]
Iteration[12000]:	-0.000410965026135x	[5.8000034448081967, 18.803326193724264, 16.564317222835577, 3.691945607830327]
Iteration[10000]:	-0.00039869883262x	[3.573088969031275, 18.975380392544007, 16.690204858416823, 3.691945607830327]
