Iteration[0]:	-0.000611598113859x	[0.001, 0.001, 0.001, 0.001]
Iteration[4000]:	-0.000215751884382x	[1.6364002086727143, 3.5220865039894207, 4.810434456445801, 0.0001]
Iteration[1000]:	-0.000177907349352x	[0.0001, 1.285719623815504, 1.4555370986474074, 1.1293793573398112]
Iteration[8000]:	-0.000146053280922x	[7.5560382767170804, 13.556600271791652, 6.7013712107775349, 0.99643023693432053]
Iteration[6000]:	-0.000171061101808x	[3.1372235720422421, 4.8485380715134543, 6.7013712107775349, 0.99643023693432053]
Iteration[13000]:	-0.000166021502922x	[9.2664886616375295, 13.690757659033633, 7.6802278292929955, 0.99643023693432053]
Iteration[11000]:	-0.000174008791723x	[9.7344857513231968, 13.690757659033633, 6.7013712107775349, 0.99643023693432053]
Iteration[9000]:	-0.000159745776008x	[7.5560382767170804, 13.556600271791652, 6.7013712107775349, 0.99643023693432053]
Iteration[2000]:	-0.000249602775012x	[0.0001, 1.1326004273250871, 3.7039637282233508, 0.0001]
Iteration[5000]:	-0.000187035679409x	[3.7405919891758224, 4.3300480547713427, 4.810434456445801, 0.0001]
Iteration[7000]:	-0.000121996327749x	[5.6554776066677848, 9.9117791604467129, 6.7013712107775349, 0.99643023693432053]
Iteration[3000]:	-0.000298762635843x	[0.0001, 1.1385833253198088, 2.7612757453251127, 0.0001]
Iteration[12000]:	-0.000171726709208x	[9.9757926207325269, 13.690757659033633, 7.0634968365707147, 0.99643023693432053]
Iteration[10000]:	-0.00016383450718x	[7.5560382767170804, 13.556600271791652, 6.7013712107775349, 0.99643023693432053]
