Iteration[0]:	-0.000742078378535x	[0.64209336101455849, 1.0684718843151098, 0.0001]
Iteration[4000]:	-0.000371039189267x	[4.2372171086252131, 3.5621733084760687, 4.7089073209968202]
Iteration[1000]:	-0.000425828501997x	[1.9417772953634775, 3.5621733084760687, 2.0958125436847959]
Iteration[8000]:	-0.00039097951737x	[4.2372171086252131, 9.891445212253922, 2.9377597505300406]
Iteration[6000]:	-0.000443346173414x	[4.2372171086252131, 3.5621733084760687, 4.7089073209968202]
Iteration[13000]:	-0.000364330293831x	[4.2372171086252131, 9.891445212253922, 2.9377597505300406]
Iteration[9000]:	-0.000375884502638x	[4.2372171086252131, 9.891445212253922, 2.9377597505300406]
Iteration[2000]:	-0.000410733487265x	[3.2572673174796662, 3.5621733084760687, 2.0458169548019658]
Iteration[5000]:	-0.000400111069491x	[4.2372171086252131, 3.5621733084760687, 4.7089073209968202]
