Iteration[0]:	-0.0770796178166x	[0.97640385497507809, 2.1285396076822085, 0.0001]
Iteration[4000]:	-0.00341892765761x	[6.3537505900456521, 3.9141557792608603, 4.3668002309907106]
Iteration[1000]:	-0.00555496542123x	[2.5226397189573611, 3.9141557792608603, 0.0001]
Iteration[8000]:	-0.00098415768886x	[9.094950049211505, 9.9999000000000002, 9.0307418853863801]
Iteration[6000]:	-0.00312559984048x	[9.094950049211505, 3.9141557792608603, 5.2966986983056161]
Iteration[13000]:	-0.000939804435698x	[9.9999000000000002, 9.9999000000000002, 9.9999000000000002]
Iteration[9000]:	-0.00103149267333x	[9.094950049211505, 9.9999000000000002, 9.0307418853863801]
Iteration[2000]:	-0.00371728714632x	[4.7773547068567268, 3.9141557792608603, 2.102623111330812]
Iteration[5000]:	-0.00310025512438x	[9.094950049211505, 3.9141557792608603, 5.2966986983056161]
